sequence,score,homology
1,score1,97
1,score2,97.93
1,score3,96.93
1,score4,97.93
1,score5,97.93
2,score1,98
2,score2,98.77
2,score3,98.16
2,score4,98.77
2,score5,98.77
3,score1,98
3,score2,98.82
3,score3,98.36
3,score4,98.82
3,score5,98.82
4,score1,98
4,score2,98.85
4,score3,98.55
4,score4,98.85
4,score5,98.85
5,score1,98
5,score2,98.18
5,score3,97.29
5,score4,98.18
5,score5,98.18
6,score1,97
6,score2,97.8
6,score3,96.73
6,score4,97.8
6,score5,97.8
7,score1,97
7,score2,97.57
7,score3,96.55
7,score4,97.57
7,score5,97.57
8,score1,95
8,score2,95.61
8,score3,93.22
8,score4,95.61
8,score5,95.61
9,score1,96
9,score2,96.63
9,score3,94.24
9,score4,96.32
9,score5,96.32
10,score1,97
10,score2,97.88
10,score3,96.71
10,score4,97.88
10,score5,97.88
		
		
		
		
		
		
		
		
		
		
